sp_song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_date,popularity,lda_topic_0,lda_topic_1,lda_topic_2,Playlists
6IGvaQ4aFBjy66TdUurIiA,0.743,0.78,7,-9.212,1,0.0722,0.0635,0.0,0.126,0.597,109.044,231693,1995,63,0.041688915342092514,0.0,0.9547428488731384,"[45, 96, 100, 101, 136]"
4O6ZaZrRCFfiZZKjnrXqlk,0.598,0.8740000000000001,9,-4.222,1,0.0432,0.0446,5.86e-06,0.094,0.962,134.52,166773,1996,55,0.9948956966400146,0.0,0.0,"[1, 29, 42, 63, 104, 129]"
6gxycjJNMgmAyfzUXBN80P,0.4320000000000001,0.261,4,-12.591,1,0.0512,0.953,0.0034200000000000003,0.0903,0.273,89.56700000000002,258653,2005,68,0.3810172379016876,0.6187931895256042,0.0,"[25, 143]"
2cJpgPuuFiVqlKcf6PvXNS,0.448,0.857,6,-4.856,1,0.0824,0.000266,0.0,0.235,0.204,91.285,257027,2002,33,0.0,0.9979516863822936,0.0,[79]
5jRQvcl66ovRTjUwzXziZA,0.763,0.462,2,-9.432,1,0.105,0.6609999999999999,0.0,0.112,0.672,124.491,253867,1969,62,0.30834177136421204,0.6913161277770996,0.0,"[27, 47, 55, 112, 127, 152]"
2uuTo18bRgXj3RvlbZKMvU,0.5429999999999999,0.878,11,-5.994,1,0.0472,0.0485,0.00101,0.125,0.189,144.157,312533,2006,55,0.0,0.9988548755645752,0.0,[142]
3D960ky9Wu9oSvI5DSNBHP,0.211,0.7929999999999999,9,-11.13,0,0.0548,0.00072,0.0112,0.142,0.151,99.098,497173,1986,19,0.0,0.998364508152008,0.0,[83]
49dCQGqLHLqlgTcnxqN5h6,0.631,0.536,9,-12.135,1,0.0279,0.403,0.836,0.132,0.8,111.596,248093,2002,30,0.0,0.9988645315170288,0.0,"[117, 157]"
2JhJOPGvtqMpj5RQC8cIYf,0.521,0.721,2,-7.699,1,0.0254,0.00348,0.0113,0.391,0.611,97.578,328427,1984,65,0.0,0.9981290698051452,0.0,"[62, 76]"
2anPa0qaFG1Nf0swkpfOQd,0.473,0.158,7,-12.9,1,0.0332,0.984,2.19e-06,0.113,0.329,98.008,225973,1970,54,0.0,0.9979837536811828,0.0,"[30, 42, 47, 133, 157]"
5rycwubN7We1zdSDM1ZABW,0.7090000000000001,0.746,0,-10.966,1,0.0526,0.328,0.0,0.253,0.917,169.868,354013,1994,56,0.0,0.0,0.9954894185066224,[45]
